filename,SAT,TIME (s),STATUS
40_05_050_100_50_1.GSP,77,2.72,FINISHED
40_05_050_100_75_1.GSP,90,1.06,FINISHED
40_05_050_125_25_1.GSP,59,0.44,FINISHED
40_05_050_125_50_1.GSP,92,10.99,FINISHED
40_05_050_125_75_1.GSP,118,1.81,FINISHED
40_10_005_100_25_1.GSP,77,0.24,FINISHED
40_10_005_100_50_1.GSP,55,0.25,FINISHED
40_10_005_100_75_1.GSP,115,0.19,FINISHED
40_10_005_125_25_1.GSP,164,0.19,FINISHED
40_10_005_125_50_1.GSP,52,0.26,FINISHED
40_10_005_125_75_1.GSP,130,0.27,FINISHED
40_10_025_100_25_1.GSP,4,0.75,FINISHED
40_10_025_100_50_1.GSP,81,0.27,FINISHED
40_10_025_100_75_1.GSP,136,0.22,FINISHED
40_10_025_125_25_1.GSP,11,0.49,FINISHED
40_10_025_125_50_1.GSP,94,0.9,FINISHED
40_10_025_125_75_1.GSP,125,0.31,FINISHED
40_10_050_100_25_1.GSP,71,0.46,FINISHED
40_10_050_100_50_1.GSP,4,0.3,FINISHED
40_10_050_100_75_1.GSP,9,0.26,FINISHED
40_10_050_125_25_1.GSP,0,0.47,FINISHED
40_10_050_125_50_1.GSP,11,0.29,FINISHED
40_10_050_125_75_1.GSP,84,0.6,FINISHED
50_05_005_100_25_1.GSP,121,300.02,TIMEOUT
50_05_005_100_50_1.GSP,177,300.01,TIMEOUT
50_05_005_100_75_1.GSP,181,10.07,FINISHED
50_05_005_125_25_1.GSP,149,300.01,TIMEOUT
50_05_005_125_50_1.GSP,169,23.14,FINISHED
50_05_005_125_75_1.GSP,175,6.56,FINISHED
50_05_025_100_25_1.GSP,138,300.02,TIMEOUT
50_05_025_100_50_1.GSP,142,0.34,FINISHED
50_05_025_100_75_1.GSP,121,3.34,FINISHED
50_05_025_125_25_1.GSP,101,9.04,FINISHED
50_05_025_125_50_1.GSP,124,19.73,FINISHED
50_05_025_125_75_1.GSP,126,1.6,FINISHED
50_05_050_100_25_1.GSP,82,300.01,TIMEOUT
50_05_050_100_50_1.GSP,122,300,TIMEOUT
50_05_050_100_75_1.GSP,172,3.38,FINISHED
50_05_050_125_25_1.GSP,122,300.02,TIMEOUT
50_05_050_125_50_1.GSP,108,300,TIMEOUT
50_05_050_125_75_1.GSP,157,2.33,FINISHED
50_10_005_100_25_1.GSP,121,0.29,FINISHED
50_10_005_100_50_1.GSP,78,0.35,FINISHED
50_10_005_100_75_1.GSP,132,0.26,FINISHED
50_10_005_125_25_1.GSP,15,0.81,FINISHED
50_10_005_125_50_1.GSP,158,0.3,FINISHED
50_10_005_125_75_1.GSP,212,0.33,FINISHED
50_10_025_100_25_1.GSP,94,0.36,FINISHED
50_10_025_100_50_1.GSP,22,0.4,FINISHED
50_10_025_100_75_1.GSP,119,0.33,FINISHED
50_10_025_125_25_1.GSP,85,0.53,FINISHED
50_10_025_125_50_1.GSP,123,1.13,FINISHED
50_10_025_125_75_1.GSP,77,0.47,FINISHED
50_10_050_100_25_1.GSP,33,0.42,FINISHED
50_10_050_100_50_1.GSP,132,0.34,FINISHED
50_10_050_100_75_1.GSP,214,0.32,FINISHED
50_10_050_125_25_1.GSP,91,0.43,FINISHED
50_10_050_125_50_1.GSP,82,0.67,FINISHED
50_10_050_125_75_1.GSP,125,0.39,FINISHED
